Creator | Website - Asset name
Saroman | https://opengameart.org/content/stone-pavement-ground-tile | Stone Pavement Ground Tile
marmigliorini | https://opengameart.org/content/medieval-house | Medieval House
hc | https://opengameart.org/content/galaxy-skybox | Galaxy Skybox
HydroGene | https://opengameart.org/content/rpg-project-overworld-map | RPG Project - Overworld Map.mp3
JSKNYC | https://opengameart.org/content/ale-n-a-rag | alenarag.mp3 
JeremyWoods | https://opengameart.org/content/wood-texture-0 | wood.png
MiniBjorn | https://opengameart.org/content/cloudy-sky | sky2.jpg
n4 | https://opengameart.org/content/seamless-beach-sand | beach_sand.png
McCraft Animation | https://opengameart.org/content/water-texture-pack | Water 1.jpg, Water 2.jpg, Water 3.jpg
Ouren | https://opengameart.org/content/palm-tree-0 | palm.blend
Ryoichi Tsunekawa | https://fonts.google.com/specimen/Bebas+Neue | Bebas Neue.ttf
